"Месяц","Y","X1","X2","X3","X4"
"1","76.4","117.7","81.6","10.3","28.5"
"2","77.6","123.8","73.2","11.4","28.7"
"3","88.2","126.9","75.3","12.2","29.1"
"4","87.3","134.1","71.3","11.5","29.2"
"5","82.5","123.1","77.3","11.2","29.1"
"6","79.4","126.7","76.1","10.5","29.2"
"7","80.3","130.4","76.6","9.4","29.3"
"8","80.1","129.3","84.7","9.5","29.2"
"9","105.2","145.4","92.4","9.3","29.1"
"10","102.5","163.8","80.3","9.2","28.7"
"11","108.7","164.8","82.6","9.4","28.4"
"12","104.5","165.3","70.9","9.7","27.8"
"13","103.7","164.1","89.9","8.2","27.7"
"14","117.8","183.7","81.3","8.4","27.6"
"15","115.8","195.8","83.7","8.2","27.5"
"16","117.8","219.4","76.1","8.1","27.5"
"17","118.4","209.8","80.4","7.8","27.4"
"18","120.4","223.3","78.1","7.2","27.5"
"19","123.8","223.6","79.8","8.2","27.6"
"20","134.9","236.6","82.1","7.5","27.7"
"21","130.5","236.6","83.2","7.4","27.8"
"22","140.7","248.6","80.8","7.3","28.7"
"23","150.4","253.4","81.8","7.4","28.3"
"24","172.7","254.3","87.5","7.5","28.1"
